
-------------------------------------------------------------------------------
   ROBOCOPY     ::     Robust File Copy for Windows                              
-------------------------------------------------------------------------------

  Started : September 5, 2026 9:41:09 PM
   Source : C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\
     Dest : X:\SKYRIM\STOCK GAME\

    Files : *.*
	    
  Options : *.* /TEE /S /E /DCOPY:DA /COPY:DAT /J /NP /MT:8 /R:2 /W:2 

------------------------------------------------------------------------------

	    New File  		  27.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse001-hstead.bsa
	    New File  		  354470	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse001-hstead.esm
	    New File  		  63.0 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse002-tower.bsa
	    New File  		  399976	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse002-tower.esl
	    New File  		  27.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse003-hollow.bsa
	    New File  		  309934	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse003-hollow.esl
	    New File  		  56.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse004-hall.bsa
	    New File  		  382824	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse004-hall.esl
	    New File  		  28.3 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse005-cave.bsa
	    New File  		  422743	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cceejsse005-cave.esm
	    New File  		 169.6 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccffbsse001-imperialdragon.bsa
	    New File  		  207143	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccffbsse001-imperialdragon.esl
	    New File  		  87.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccffbsse002-crossbowpack.bsa
	    New File  		   22307	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccffbsse002-crossbowpack.esl
	    New File  		    3498	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Skyrim\SkyrimPrefs.ini
	    New File  		  54.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccfsvsse001-backpacks.bsa
	    New File  		   18898	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccfsvsse001-backpacks.esl
	    New File  		 126.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cckrtsse001_altar.bsa
	    New File  		  499020	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cckrtsse001_altar.esl
	    New File  		  76.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccmtysse001-knightsofthenine.bsa
	    New File  		   87925	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccmtysse001-knightsofthenine.esl
	    New File  		 112.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccmtysse002-ve.bsa
	    New File  		  259928	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccmtysse002-ve.esl
	    New File  		  29.6 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccpewsse002-armsofchaos.bsa
	    New File  		  141394	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccpewsse002-armsofchaos.esl
	    New File  		  12.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccqdrsse001-survivalmode.bsa
	    New File  		  240724	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccqdrsse001-survivalmode.esl
	    New File  		  443268	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccqdrsse002-firewood.bsa
	    New File  		  264689	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccqdrsse002-firewood.esl
	    New File  		  48.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccrmssse001-necrohouse.bsa
	    New File  		  393319	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccrmssse001-necrohouse.esl
	    New File  		 345.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cctwbsse001-puzzledungeon.bsa
	    New File  		   1.3 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\cctwbsse001-puzzledungeon.esm
	    New File  		  40.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse001-winter.bsa
	    New File  		  115940	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse001-winter.esl
	    New File  		  97.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse002-pets.bsa
	    New File  		  186345	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse002-pets.esl
	    New File  		 161.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse003-necroarts.bsa
	    New File  		  224611	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse003-necroarts.esl
	    New File  		  17.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse004-beafarmer.bsa
	    New File  		  485046	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\ccvsvsse004-beafarmer.esl
	    New File  		  24.6 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Dawnguard.esm
	    New File  		  61.6 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Dragonborn.esm
	    New File  		   3.7 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\HearthFires.esm
	    New File  		   3.0 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\MarketplaceTextures.bsa
	    New File  		  62.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Animations.bsa
	    New File  		 101.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Interface.bsa
	    New File  		   1.0 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Meshes0.bsa
	    New File  		 361.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Meshes1.bsa
	    New File  		  16.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Misc.bsa
	    New File  		  64.6 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Shaders.bsa
	    New File  		   1.4 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Sounds.bsa
	    New File  		 628.8 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures0.bsa
	    New File  		   1.4 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures1.bsa
	    New File  		   1.2 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures2.bsa
	    New File  		   1.3 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures3.bsa
	    New File  		   1.1 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures4.bsa
	    New File  		 772.9 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures5.bsa
	    New File  		 102.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures6.bsa
	    New File  		 668.4 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures7.bsa
	    New File  		 204.5 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Textures8.bsa
	    New File  		   1.6 g	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim - Voices_en0.bsa
	    New File  		 238.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Skyrim.esm
	    New File  		  18.2 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Update.esm
	    New File  		 874.0 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\_ResourcePack.bsa
	    New File  		   78483	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\_ResourcePack.esl
	    New File  		  13.1 m	C:\Program Files (x86)\Steam\steamapps\common\Skyrim Special Edition\Data\Video\BGS_Logo.bik

------------------------------------------------------------------------------

               Total    Copied   Skipped  Mismatch    FAILED    Extras
    Dirs :         7         7         1         0         0         0
   Files :       187       187         0         0         0         0
   Bytes :  19.348 g  19.348 g         0         0         0         0
   Times :   0:00:14   0:00:01                       0:00:00   0:00:00


   Speed :           13,082,769,711 Bytes/sec.
   Speed :              748,602.063 MegaBytes/min.
   Ended : September 5, 2026 9:41:10 PM

